,,1d,4h,1h,30m,15m,5m,1m
mean,ETHUSDT,42.77499999999998,19.883333333333308,10.171458333333334,7.18854166666667,4.995729166666668,2.681371527777778,0.9925590277777802
mean,ETCUSDT,0.8599999999999994,0.27083333333333304,0.137083333333333,0.09104166666666628,0.06276041666666644,0.030920138888888855,0.008364583333333314
mean,BTCUSDT,1667.8799999999974,652.8900000000007,296.971874999999,200.31604166666693,142.85265625000048,73.7642361111109,23.819503472221808
mean,BCHUSDT,19.80000000000001,6.041666666666667,3.1333333333333364,2.0875000000000026,1.4427083333333321,0.7663194444444419,0.2701388888888883
mean,SOLUSDT,3.7700000000000102,1.9116666666666688,0.9172916666666678,0.6529166666666674,0.47348958333333435,0.2586979166666669,0.09808680555555555
median,ETHUSDT,42.77499999999998,17.904999999999973,9.19500000000005,6.309999999999945,4.230000000000018,2.3450000000000273,0.8399999999999181
median,ETCUSDT,0.8599999999999994,0.254999999999999,0.129999999999999,0.08000000000000007,0.05999999999999872,0.029999999999998472,0.00999999999999801
median,BTCUSDT,1667.8799999999974,599.205000000009,257.40499999999156,178.09999999999127,127.90000000000146,63.74500000000262,17.87999999999738
median,BCHUSDT,19.80000000000001,4.549999999999983,2.5,1.6999999999999886,1.1999999999999886,0.6000000000000227,0.19999999999998863
median,SOLUSDT,3.7700000000000102,1.7650000000000006,0.8300000000000125,0.5999999999999943,0.4300000000000068,0.23999999999998067,0.09000000000000341
