index,volatility,freq
count,46.0,1w
mean,461.9615217391303,1w
std,214.25424770032643,1w
min,189.11000000000013,1w
25%,295.8200000000003,1w
50%,392.505,1w
75%,587.505,1w
max,1005.9000000000001,1w
count,250.0,1d
mean,176.31107999999995,1d
std,99.01349116643377,1d
min,50.320000000000164,1d
25%,117.97000000000003,1d
50%,149.41499999999996,1d
75%,210.44499999999982,1d
max,795.9899999999998,1d
count,1499.0,4h
mean,67.39157438292193,4h
std,47.64944460975869,4h
min,11.919999999999845,4h
25%,39.22500000000002,4h
50%,55.75,4h
75%,81.25999999999999,4h
max,747.7399999999998,4h
count,5994.0,1h
mean,32.210061728395054,1h
std,24.681404249242526,1h
min,5.0,1h
25%,17.63250000000005,1h
50%,25.929999999999836,1h
75%,39.13499999999988,1h
max,444.2800000000002,1h
count,11987.0,30m
mean,22.203873362809706,30m
std,17.57790544238264,30m
min,2.730000000000018,30m
25%,11.970000000000255,30m
50%,17.840000000000146,30m
75%,27.0,30m
max,438.55999999999995,30m
count,23974.0,15m
mean,15.347647034287139,15m
std,12.598888640195842,15m
min,1.550000000000182,15m
25%,8.16000000000031,15m
50%,12.2199999999998,15m
75%,18.679999999999836,15m
max,438.55999999999995,15m
count,71922.0,5m
mean,8.388322071132611,5m
std,7.239147851722846,5m
min,0.009999999999763531,5m
25%,4.319999999999709,5m
50%,6.599999999999909,5m
75%,10.25,5m
max,379.22999999999956,5m
count,359609.0,1m
mean,3.3399568976304788,1m
std,3.26617763386075,1m
min,0.009999999999763531,1m
25%,1.5399999999999636,1m
50%,2.5700000000001637,1m
75%,4.179999999999836,1m
max,293.4499999999998,1m
