index,volatility,freq
count,46.0,1w
mean,34.774130434782606,1w
std,19.422344128587447,1w
min,12.840000000000018,1w
25%,23.53250000000002,1w
50%,29.435000000000002,1w
75%,38.2525,1w
max,126.94999999999999,1w
count,250.0,1d
mean,12.905040000000001,1d
std,6.214971058616261,1d
min,3.490000000000009,1d
25%,8.717500000000015,1d
50%,11.61,1d
75%,16.017500000000013,1d
max,42.81,1d
count,1505.0,4h
mean,5.122724252491694,4h
std,3.1083322765751618,4h
min,1.0199999999999818,4h
25%,3.0400000000000205,4h
50%,4.3799999999999955,4h
75%,6.259999999999991,4h
max,28.0,4h
count,6023.0,1h
mean,2.5050257346837124,1h
std,1.6813331903817368,1h
min,0.3900000000000148,1h
25%,1.4299999999999784,1h
50%,2.0600000000000023,1h
75%,3.049999999999983,1h
max,22.689999999999998,1h
count,12047.0,30m
mean,1.7511239312691957,30m
std,1.224887379981769,30m
min,0.21999999999999886,30m
25%,0.9899999999999807,30m
50%,1.420000000000016,30m
75%,2.1299999999999955,30m
max,19.360000000000014,30m
count,24095.0,15m
mean,1.2209362938368955,15m
std,0.8793974624446312,15m
min,0.15000000000000568,15m
25%,0.6800000000000068,15m
50%,1.0,15m
75%,1.4800000000000182,15m
max,19.360000000000014,15m
count,72284.0,5m
mean,0.6751619998893253,5m
std,0.5107597558282407,5m
min,0.01999999999999602,5m
25%,0.36000000000001364,5m
50%,0.5400000000000205,5m
75%,0.8299999999999841,5m
max,13.830000000000013,5m
count,361420.0,1m
mean,0.27567508715621725,1m
std,0.23102980798400477,1m
min,0.009999999999990905,1m
25%,0.13999999999998636,1m
50%,0.21999999999999886,1m
75%,0.3400000000000034,1m
max,11.139999999999986,1m
