index,volatility,freq
count,6.0,1w
mean,332.52,1w
std,72.70386867285666,1w
min,251.9000000000001,1w
25%,283.5425,1w
50%,313.26,1w
75%,389.61249999999984,1w
max,428.0,1w
count,115.0,1d
mean,125.25304347826088,1d
std,80.23565391990167,1d
min,32.4699999999998,1d
25%,75.33000000000015,1d
50%,105.04999999999973,1d
75%,149.40499999999997,1d
max,449.9000000000001,1d
count,690.0,4h
mean,48.24191304347827,4h
std,36.053298009348865,4h
min,8.359999999999673,4h
25%,25.447499999999877,4h
50%,37.9849999999999,4h
75%,59.487499999999955,4h
max,305.6500000000001,4h
count,2760.0,1h
mean,23.43055072463768,1h
std,19.368177114209818,1h
min,2.9100000000003092,1h
25%,12.4050000000002,1h
50%,17.980000000000018,1h
75%,27.917499999999905,1h
max,287.6500000000001,1h
count,5520.0,30m
mean,16.2349384057971,30m
std,13.887057966967125,30m
min,1.7999999999997272,30m
25%,8.377500000000055,30m
50%,12.510000000000218,30m
75%,19.39250000000027,30m
max,242.8800000000001,30m
count,11040.0,15m
mean,11.234431159420287,15m
std,9.95162890563667,15m
min,1.0499999999997272,15m
25%,5.740000000000009,15m
50%,8.599999999999909,15m
75%,13.389999999999873,15m
max,242.8800000000001,15m
count,33120.0,5m
mean,6.082464673913038,5m
std,5.776502697533866,5m
min,0.009999999999763531,5m
25%,2.9299999999998363,5m
50%,4.550000000000182,5m
75%,7.302500000000123,5m
max,219.0999999999999,5m
count,165600.0,1m
mean,2.3517327898550713,1m
std,2.553281480442605,1m
min,0.009999999999763531,1m
25%,0.9500000000002728,1m
50%,1.699999999999818,1m
75%,2.919999999999618,1m
max,119.71000000000004,1m
