index,volatility,freq
count,6.0,1w
mean,27.70500000000001,1w
std,12.80101675649244,1w
min,12.610000000000014,1w
25%,18.882499999999993,1w
50%,24.989999999999995,1w
75%,38.45500000000002,1w
max,43.85000000000002,1w
count,115.0,1d
mean,10.884086956521738,1d
std,9.398348296063869,1d
min,2.3100000000000023,1d
25%,5.840000000000003,1d
50%,7.900000000000006,1d
75%,12.060000000000002,1d
max,59.14999999999998,1d
count,690.0,4h
mean,4.2117391304347835,4h
std,3.9982306524068125,4h
min,0.7600000000000193,4h
25%,2.2225000000000037,4h
50%,3.1499999999999915,4h
75%,4.550000000000004,4h
max,41.75,4h
count,2760.0,1h
mean,2.0646159420289854,1h
std,2.1147300403345803,1h
min,0.29000000000002046,1h
25%,1.0674999999999955,1h
50%,1.5300000000000011,1h
75%,2.282499999999999,1h
max,28.160000000000025,1h
count,5520.0,30m
mean,1.4398152173913046,30m
std,1.477539899635169,30m
min,0.18000000000000682,30m
25%,0.7199999999999989,30m
50%,1.0700000000000074,30m
75%,1.5999999999999943,30m
max,19.560000000000002,30m
count,11040.0,15m
mean,1.0048931159420291,15m
std,1.041244850741309,15m
min,0.11000000000001364,15m
25%,0.5099999999999909,15m
50%,0.7400000000000091,15m
75%,1.1299999999999955,15m
max,18.72999999999999,15m
count,33120.0,5m
mean,0.5547977053140097,5m
std,0.6088795438184553,5m
min,0.03999999999999204,5m
25%,0.2699999999999818,5m
50%,0.4000000000000057,5m
75%,0.6200000000000045,5m
max,17.120000000000005,5m
count,165600.0,1m
mean,0.22366853864734296,1m
std,0.26380845759879673,1m
min,0.009999999999990905,1m
25%,0.09999999999999432,1m
50%,0.1599999999999966,1m
75%,0.2599999999999909,1m
max,8.349999999999994,1m
